+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----+-------+------+
|                                                                                                       description                                                                                                        | day | month | year |
| Expired parking meter took place at 06:24. Two people witnessed the event.                                                                                                                                               | 25  | 7     | 2021 |
| Credit card fraud took place at 18:10. No known witnesses.                                                                                                                                                               | 25  | 7     | 2021 |
| Jaywalking took place at 05:27. One person witnessed the incident.                                                                                                                                                       | 26  | 7     | 2021 |
| Expired parking meter took place at 10:36. One person witnessed the incident.                                                                                                                                            | 26  | 7     | 2021 |
| Money laundering took place at 17:47. Two people witnessed the event.                                                                                                                                                    | 27  | 7     | 2021 |
| Wire fraud took place at 23:58. Two people witnessed the event.                                                                                                                                                          | 27  | 7     | 2021 |
| Shoplifting took place at 05:51. No known witnesses.                                                                                                                                                                     | 27  | 7     | 2021 |
| Vandalism took place at 12:04. No known witnesses.                                                                                                                                                                       | 28  | 7     | 2021 |
| Shoplifting took place at 03:01. Two people witnessed the event.                                                                                                                                                         | 28  | 7     | 2021 |


| Theft of the CS50 duck took place at 10:15am at the Humphrey Street bakery.
Interviews were conducted today with three witnesses who were present at the
time – each of their interview transcripts mentions the bakery. | 28  | 7     | 2021 |


| Money laundering took place at 20:30. No known witnesses.                                                                                                                                                                | 28  | 7     | 2021 |
| Littering took place at 16:36. No known witnesses.                                                                                                                                                                       | 28  | 7     | 2021 |
| Insider trading took place at 06:35. One person witnessed the incident.                                                                                                                                                  | 29  | 7     | 2021 |
| Littering took place at 17:49. Two people witnessed the event.                                                                                                                                                           | 30  | 7     | 2021 |
| Bank robbery took place at 12:24. No known witnesses.                                                                                                                                                                    | 31  | 7     | 2021 |
| Vandalism took place at 13:52. One person witnessed the incident.                                                                                                                                                        | 1   | 8     | 2021 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----+-------+------+
